Abdi	Abdirahman	Tucson
Alma	Adams	Redmond
Robert	Aderholt	Woodinville
Pete	Aguilar	Bothell
Rick	Allen	Sammamish
Colin	Allred	Bellevue
Mark	Amodei	Redmond
Kelly	Armstrong	Kirkland
Jodey	Arrington	Seattle
Jake	Auchincloss	Redmond
Cynthia	Axne	Bothell
Brian	Babin	Mill Creek
Don	Bacon	Clyde Hill
James	Baird	Sammamish
Troy	Balderson	Sammamish
Tammy	Baldwin	Woodinville
Jim	Banks	Sammamish
Andy	Barr	Seattle
Nanette	Barragan	Preston
John	Barrasso	Carnation
Karen	Bass	Kirkland
Joyce	Beatty	Kenmore
Claudia	Becque	Chicago
Michael	Bennet	Kirkland
Cliff	Bentz	Port Angeles
Ami	Bera	Issaquah
Jack	Bergman	Issaquah
Donald	Beyer	Kent
Stephanie	Bice	Kirkland
Andy	Biggs	Kirkland
Gus	Bilirakis	Woodinville
Sanford	Bishop	Redmond
Dan	Bishop	Bothell
Marsha	Blackburn	Kirkland
Earl	Blumenauer	Kirkland
Richard	Blumenthal	Bellevue
Roy	Blunt	Woodinville
Lisa	Blunt Rochester	Snoqualmie
Lauren	Boebert	Lynnwood
Suzanne	Bonamici	Seattle
Cory	Booker	Mercer Island
John	Boozman	Woodinville
Mike	Bost	Sammamish
Carolyn	Bourdeaux	Bellevue
Jamaal	Bowman	Issaquah
Brendan	Boyle	Mill Creek
Kevin	Brady	Redmond
Mike	Braun	Seattle
Mo	Brooks	Bellevue
Sherrod	Brown	Redmond
Anthony	Brown	Woodinville
Shontel	Brown	Bothell
Dan & Lisa	Browne	Beaverton
Julia	Brownley	Port Angeles
Vern	Buchanan	Kirkland
Ken	Buck	Redmond
Larry	Bucshon	Kirkland
Ted	Budd	Clyde Hill
Tim	Burchett	Kenmore
Michael	Burgess	Kirkland
Richard	Burr	Lynnwood
Cori	Bush	Seattle
Cheri	Bustos	Redmond
George/G.K.	Butterfield	Preston
Ken	Calvert	Snoqualmie
Katherine	Cammack	bellevue
Maria	Cantwell	Kirkland
Shelley	Capito	Snoqualmie
Salud	Carbajal	Lynnwood
Tony	Cardenas	Mercer Island
Benjamin	Cardin	Kirkland
Mike	Carey	Redmond
Jerry	Carl	Sammamish
Thomas	Carper	Sammamish
Andre	Carson	woodinville
John	Carter	Bellevue
Earl/Buddy	Carter	Kirkland
Troy	Carter	Bothell
Matt	Cartwright	Seattle
Ed	Case	Snoqualmie
Robert/Bob	Casey	Sammamish
Bill	Cassidy	Bellevue
Sean	Casten	Auburn
Kathy	Castor	Duvall
Joaquin	Castro	Bothell
David/Madison	Cawthorn	Kirkland
Steve	Chabot	Redmond
Liz	Cheney	Kirkland
Judy	Chu	Mercer Island
David	Cicilline	Mercer Island
Katherine	Clark	Edmonds
Yvette	Clarke	Bellevue
Emanuel	Cleaver	Kirkland
Ben	Cline	Yakima
Michael	Cloud	Kirkland
James	Clyburn	Duvall
Andrew	Clyde	Bellevue
Steve	Cohen	Sammamish
Tom	Cole	Sammamish
Susan	Collins	Seattle
James	Comer	Kirkland
Gerald	Connolly	Seattle
Christopher	Coons	Woodinville
Jim	Cooper	Redmond
John	Cornyn	Sammamish
J.	Correa	Snoqualmie
Catherine	Cortez Masto	Woodinville
Jim	Costa	Redmond
Greg	Costello	Chicago
Tom	Cotton	REDMOND
Joe	Courtney	Woodinville
Angie	Craig	Seattle
